wo_id,trade,day,boolvar
1453629,NC-LUBRICATOR,monday,x_1453629_NC-LUBRICATOR_monday
1453629,NC-LUBRICATOR,tuesday,x_1453629_NC-LUBRICATOR_tuesday
1453629,NC-LUBRICATOR,wednesday,x_1453629_NC-LUBRICATOR_wednesday
1453629,NC-LUBRICATOR,thursday,x_1453629_NC-LUBRICATOR_thursday
1453629,NC-LUBRICATOR,friday,x_1453629_NC-LUBRICATOR_friday
1453482,NC-PM DAY,monday,x_1453482_NC-PM DAY_monday
1453482,NC-PM DAY,tuesday,x_1453482_NC-PM DAY_tuesday
1453482,NC-PM DAY,wednesday,x_1453482_NC-PM DAY_wednesday
1453482,NC-PM DAY,thursday,x_1453482_NC-PM DAY_thursday
1453482,NC-PM DAY,friday,x_1453482_NC-PM DAY_friday
1453482,NC-PM DAY,saturday,x_1453482_NC-PM DAY_saturday
1453482,NC-PM DAY,sunday,x_1453482_NC-PM DAY_sunday
1453481,NC-PM DAY,monday,x_1453481_NC-PM DAY_monday
1453481,NC-PM DAY,tuesday,x_1453481_NC-PM DAY_tuesday
1453481,NC-PM DAY,wednesday,x_1453481_NC-PM DAY_wednesday
1453481,NC-PM DAY,thursday,x_1453481_NC-PM DAY_thursday
1453481,NC-PM DAY,friday,x_1453481_NC-PM DAY_friday
1453481,NC-PM DAY,saturday,x_1453481_NC-PM DAY_saturday
1453481,NC-PM DAY,sunday,x_1453481_NC-PM DAY_sunday
1453428,NC-REBUILD,monday,x_1453428_NC-REBUILD_monday
1453428,NC-REBUILD,tuesday,x_1453428_NC-REBUILD_tuesday
1453428,NC-REBUILD,wednesday,x_1453428_NC-REBUILD_wednesday
1453428,NC-REBUILD,thursday,x_1453428_NC-REBUILD_thursday
1453428,NC-REBUILD,friday,x_1453428_NC-REBUILD_friday
1453421,NC-MECHANIC EXE,monday,x_1453421_NC-MECHANIC EXE_monday
1453421,NC-MECHANIC EXE,tuesday,x_1453421_NC-MECHANIC EXE_tuesday
1453421,NC-MECHANIC EXE,wednesday,x_1453421_NC-MECHANIC EXE_wednesday
1453421,NC-MECHANIC EXE,thursday,x_1453421_NC-MECHANIC EXE_thursday
1453421,NC-MECHANIC EXE,friday,x_1453421_NC-MECHANIC EXE_friday
1453071,NC-REBUILD,monday,x_1453071_NC-REBUILD_monday
1453071,NC-REBUILD,tuesday,x_1453071_NC-REBUILD_tuesday
1453071,NC-REBUILD,wednesday,x_1453071_NC-REBUILD_wednesday
1453071,NC-REBUILD,thursday,x_1453071_NC-REBUILD_thursday
1453071,NC-REBUILD,friday,x_1453071_NC-REBUILD_friday
1453069,NC-REBUILD,monday,x_1453069_NC-REBUILD_monday
1453069,NC-REBUILD,tuesday,x_1453069_NC-REBUILD_tuesday
1453069,NC-REBUILD,wednesday,x_1453069_NC-REBUILD_wednesday
1453069,NC-REBUILD,thursday,x_1453069_NC-REBUILD_thursday
1453069,NC-REBUILD,friday,x_1453069_NC-REBUILD_friday
1452557,NC-REBUILD,monday,x_1452557_NC-REBUILD_monday
1452557,NC-REBUILD,tuesday,x_1452557_NC-REBUILD_tuesday
1452557,NC-REBUILD,wednesday,x_1452557_NC-REBUILD_wednesday
1452557,NC-REBUILD,thursday,x_1452557_NC-REBUILD_thursday
1452557,NC-REBUILD,friday,x_1452557_NC-REBUILD_friday
1452505,NC-PM NIGHT,monday,x_1452505_NC-PM NIGHT_monday
1452505,NC-PM NIGHT,tuesday,x_1452505_NC-PM NIGHT_tuesday
1452505,NC-PM NIGHT,wednesday,x_1452505_NC-PM NIGHT_wednesday
1452505,NC-PM NIGHT,thursday,x_1452505_NC-PM NIGHT_thursday
1452505,NC-PM NIGHT,friday,x_1452505_NC-PM NIGHT_friday
1452505,NC-PM NIGHT,saturday,x_1452505_NC-PM NIGHT_saturday
1452505,NC-PM NIGHT,sunday,x_1452505_NC-PM NIGHT_sunday
1452462,NC-REBUILD,monday,x_1452462_NC-REBUILD_monday
1452462,NC-REBUILD,tuesday,x_1452462_NC-REBUILD_tuesday
1452462,NC-REBUILD,wednesday,x_1452462_NC-REBUILD_wednesday
1452462,NC-REBUILD,thursday,x_1452462_NC-REBUILD_thursday
1452462,NC-REBUILD,friday,x_1452462_NC-REBUILD_friday
1452443,NC-REBUILD,monday,x_1452443_NC-REBUILD_monday
1452443,NC-REBUILD,tuesday,x_1452443_NC-REBUILD_tuesday
1452443,NC-REBUILD,wednesday,x_1452443_NC-REBUILD_wednesday
1452443,NC-REBUILD,thursday,x_1452443_NC-REBUILD_thursday
1452443,NC-REBUILD,friday,x_1452443_NC-REBUILD_friday
1452404,NC-PM DAY,monday,x_1452404_NC-PM DAY_monday
1452404,NC-PM DAY,tuesday,x_1452404_NC-PM DAY_tuesday
1452404,NC-PM DAY,wednesday,x_1452404_NC-PM DAY_wednesday
1452404,NC-PM DAY,thursday,x_1452404_NC-PM DAY_thursday
1452404,NC-PM DAY,friday,x_1452404_NC-PM DAY_friday
1452404,NC-PM DAY,saturday,x_1452404_NC-PM DAY_saturday
1452404,NC-PM DAY,sunday,x_1452404_NC-PM DAY_sunday
1452288,NC-E/I,monday,x_1452288_NC-E/I_monday
1452288,NC-E/I,tuesday,x_1452288_NC-E/I_tuesday
1452288,NC-E/I,wednesday,x_1452288_NC-E/I_wednesday
1452288,NC-E/I,thursday,x_1452288_NC-E/I_thursday
1452288,NC-E/I,friday,x_1452288_NC-E/I_friday
1452288,NC-E/I,saturday,x_1452288_NC-E/I_saturday
1452288,NC-E/I,sunday,x_1452288_NC-E/I_sunday
1452263,NC-MECHANIC EXE,monday,x_1452263_NC-MECHANIC EXE_monday
1452263,NC-MECHANIC EXE,tuesday,x_1452263_NC-MECHANIC EXE_tuesday
1452263,NC-MECHANIC EXE,wednesday,x_1452263_NC-MECHANIC EXE_wednesday
1452263,NC-MECHANIC EXE,thursday,x_1452263_NC-MECHANIC EXE_thursday
1452263,NC-MECHANIC EXE,friday,x_1452263_NC-MECHANIC EXE_friday
1452262,NC-MECHANIC EXE,monday,x_1452262_NC-MECHANIC EXE_monday
1452262,NC-MECHANIC EXE,tuesday,x_1452262_NC-MECHANIC EXE_tuesday
1452262,NC-MECHANIC EXE,wednesday,x_1452262_NC-MECHANIC EXE_wednesday
1452262,NC-MECHANIC EXE,thursday,x_1452262_NC-MECHANIC EXE_thursday
1452262,NC-MECHANIC EXE,friday,x_1452262_NC-MECHANIC EXE_friday
1452257,NC-E/I,monday,x_1452257_NC-E/I_monday
1452257,NC-E/I,tuesday,x_1452257_NC-E/I_tuesday
1452257,NC-E/I,wednesday,x_1452257_NC-E/I_wednesday
1452257,NC-E/I,thursday,x_1452257_NC-E/I_thursday
