wo_id,trade,day,boolvar
1450285,NC-PM DAY,sunday,x_1450285_NC-PM DAY_sunday
1450130,NC-PM DAY,sunday,x_1450130_NC-PM DAY_sunday
1450126,NC-PM DAY,sunday,x_1450126_NC-PM DAY_sunday
1450125,NC-PM DAY,sunday,x_1450125_NC-PM DAY_sunday
1449079,NC-E/I,sunday,x_1449079_NC-E/I_sunday
1449074,NC-PM DAY,sunday,x_1449074_NC-PM DAY_sunday
1449073,NC-E/I,sunday,x_1449073_NC-E/I_sunday
1449067,NC-E/I,sunday,x_1449067_NC-E/I_sunday
1449055,NC-E/I,sunday,x_1449055_NC-E/I_sunday
1449059,NC-E/I,sunday,x_1449059_NC-E/I_sunday
1449047,NC-E/I,sunday,x_1449047_NC-E/I_sunday
1449051,NC-E/I,sunday,x_1449051_NC-E/I_sunday
1449038,NC-E/I,sunday,x_1449038_NC-E/I_sunday
1449035,NC-E/I,sunday,x_1449035_NC-E/I_sunday
1449036,NC-E/I,sunday,x_1449036_NC-E/I_sunday
1449043,NC-E/I,sunday,x_1449043_NC-E/I_sunday
1449037,NC-E/I,sunday,x_1449037_NC-E/I_sunday
1448982,NC-PM DAY,sunday,x_1448982_NC-PM DAY_sunday
1448983,NC-PM DAY,sunday,x_1448983_NC-PM DAY_sunday
