trade,day,var_load_name,var_load_value,var_load_sq_name,var_load_sq_value,max_manhours_scaled,objective_gain,solver_status
NC-E/I,monday,manhours_per_day_NC-E/I_monday,48,manhours_per_day_sq_NC-E/I_monday,2304,48,1,OPTIMAL
NC-E/I,tuesday,manhours_per_day_NC-E/I_tuesday,48,manhours_per_day_sq_NC-E/I_tuesday,2304,48,1,OPTIMAL
NC-E/I,wednesday,manhours_per_day_NC-E/I_wednesday,48,manhours_per_day_sq_NC-E/I_wednesday,2304,48,1,OPTIMAL
NC-E/I,thursday,manhours_per_day_NC-E/I_thursday,48,manhours_per_day_sq_NC-E/I_thursday,2304,48,1,OPTIMAL
NC-E/I,friday,manhours_per_day_NC-E/I_friday,48,manhours_per_day_sq_NC-E/I_friday,2304,48,1,OPTIMAL
NC-E/I,saturday,manhours_per_day_NC-E/I_saturday,48,manhours_per_day_sq_NC-E/I_saturday,2304,48,1,OPTIMAL
NC-E/I,sunday,manhours_per_day_NC-E/I_sunday,48,manhours_per_day_sq_NC-E/I_sunday,2304,48,1,OPTIMAL
NC-E/I PM,monday,manhours_per_day_NC-E/I PM_monday,0,manhours_per_day_sq_NC-E/I PM_monday,0,40,1,OPTIMAL
NC-E/I PM,tuesday,manhours_per_day_NC-E/I PM_tuesday,0,manhours_per_day_sq_NC-E/I PM_tuesday,0,40,1,OPTIMAL
NC-E/I PM,wednesday,manhours_per_day_NC-E/I PM_wednesday,0,manhours_per_day_sq_NC-E/I PM_wednesday,0,40,1,OPTIMAL
NC-E/I PM,thursday,manhours_per_day_NC-E/I PM_thursday,0,manhours_per_day_sq_NC-E/I PM_thursday,0,40,1,OPTIMAL
NC-EQUIPMENT,monday,manhours_per_day_NC-EQUIPMENT_monday,16,manhours_per_day_sq_NC-EQUIPMENT_monday,256,16,1,OPTIMAL
NC-EQUIPMENT,tuesday,manhours_per_day_NC-EQUIPMENT_tuesday,10,manhours_per_day_sq_NC-EQUIPMENT_tuesday,100,16,1,OPTIMAL
NC-EQUIPMENT,wednesday,manhours_per_day_NC-EQUIPMENT_wednesday,16,manhours_per_day_sq_NC-EQUIPMENT_wednesday,256,16,1,OPTIMAL
NC-EQUIPMENT,thursday,manhours_per_day_NC-EQUIPMENT_thursday,0,manhours_per_day_sq_NC-EQUIPMENT_thursday,0,16,1,OPTIMAL
NC-EQUIPMENT,friday,manhours_per_day_NC-EQUIPMENT_friday,16,manhours_per_day_sq_NC-EQUIPMENT_friday,256,16,1,OPTIMAL
