trade,day,work_order_id,var_name,manhours_scaled,max_manhours_scaled,solver_value,contribution_scaled,solver_status
NC-E/I,monday,1444880,x_1444880_NC-E/I_monday,2,48,1,2,OPTIMAL
NC-E/I,monday,1450323,x_1450323_NC-E/I_monday,4,48,0,0,OPTIMAL
NC-E/I,monday,1450151,x_1450151_NC-E/I_monday,12,48,0,0,OPTIMAL
NC-E/I,monday,1446253,x_1446253_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1442061,x_1442061_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1441973,x_1441973_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1447453,x_1447453_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1451278,x_1451278_NC-E/I_monday,6,48,0,0,OPTIMAL
NC-E/I,monday,1451279,x_1451279_NC-E/I_monday,6,48,0,0,OPTIMAL
NC-E/I,monday,1450892,x_1450892_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1450894,x_1450894_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1450895,x_1450895_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1450893,x_1450893_NC-E/I_monday,2,48,1,2,OPTIMAL
NC-E/I,monday,1448462,x_1448462_NC-E/I_monday,8,48,0,0,OPTIMAL
NC-E/I,monday,1442969,x_1442969_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1451286,x_1451286_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1388696,x_1388696_NC-E/I_monday,12,48,0,0,OPTIMAL
NC-E/I,monday,1387434,x_1387434_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1426292,x_1426292_NC-E/I_monday,4,48,0,0,OPTIMAL
NC-E/I,monday,1430677,x_1430677_NC-E/I_monday,8,48,0,0,OPTIMAL
NC-E/I,monday,1437521,x_1437521_NC-E/I_monday,8,48,0,0,OPTIMAL
NC-E/I,monday,1444984,x_1444984_NC-E/I_monday,8,48,1,8,OPTIMAL
NC-E/I,monday,1437615,x_1437615_NC-E/I_monday,16,48,1,16,OPTIMAL
NC-E/I,monday,1442950,x_1442950_NC-E/I_monday,2,48,1,2,OPTIMAL
NC-E/I,monday,1429139,x_1429139_NC-E/I_monday,6,48,0,0,OPTIMAL
NC-E/I,monday,1442901,x_1442901_NC-E/I_monday,8,48,0,0,OPTIMAL
NC-E/I,monday,1435859,x_1435859_NC-E/I_monday,12,48,0,0,OPTIMAL
NC-E/I,monday,1450304,x_1450304_NC-E/I_monday,4,48,1,4,OPTIMAL
NC-E/I,monday,1448470,x_1448470_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1442871,x_1442871_NC-E/I_monday,4,48,0,0,OPTIMAL
NC-E/I,monday,1450324,x_1450324_NC-E/I_monday,4,48,0,0,OPTIMAL
NC-E/I,monday,1450326,x_1450326_NC-E/I_monday,80,48,0,0,OPTIMAL
NC-E/I,monday,1450128,x_1450128_NC-E/I_monday,16,48,0,0,OPTIMAL
NC-E/I,monday,1450120,x_1450120_NC-E/I_monday,4,48,0,0,OPTIMAL
NC-E/I,monday,1446276,x_1446276_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1446322,x_1446322_NC-E/I_monday,2,48,0,0,OPTIMAL
NC-E/I,monday,1446273,x_1446273_NC-E/I_monday,12,48,1,12,OPTIMAL
