work_order_id,trade,day,var_name,solver_value,solver_status
1376960,NC-LUBRICATOR,friday,x_1376960_NC-LUBRICATOR_friday,0,OPTIMAL
1376960,NC-LUBRICATOR,monday,x_1376960_NC-LUBRICATOR_monday,0,OPTIMAL
1376960,NC-LUBRICATOR,thursday,x_1376960_NC-LUBRICATOR_thursday,1,OPTIMAL
1376960,NC-LUBRICATOR,tuesday,x_1376960_NC-LUBRICATOR_tuesday,0,OPTIMAL
1376960,NC-LUBRICATOR,wednesday,x_1376960_NC-LUBRICATOR_wednesday,0,OPTIMAL
1378310,NC-E/I,friday,x_1378310_NC-E/I_friday,0,OPTIMAL
1378310,NC-E/I,monday,x_1378310_NC-E/I_monday,0,OPTIMAL
1378310,NC-E/I,saturday,x_1378310_NC-E/I_saturday,0,OPTIMAL
1378310,NC-E/I,sunday,x_1378310_NC-E/I_sunday,0,OPTIMAL
1378310,NC-E/I,thursday,x_1378310_NC-E/I_thursday,1,OPTIMAL
1378310,NC-E/I,tuesday,x_1378310_NC-E/I_tuesday,0,OPTIMAL
1378310,NC-E/I,wednesday,x_1378310_NC-E/I_wednesday,0,OPTIMAL
1387434,NC-E/I,friday,x_1387434_NC-E/I_friday,1,OPTIMAL
1387434,NC-E/I,monday,x_1387434_NC-E/I_monday,0,OPTIMAL
1387434,NC-E/I,saturday,x_1387434_NC-E/I_saturday,0,OPTIMAL
1387434,NC-E/I,sunday,x_1387434_NC-E/I_sunday,0,OPTIMAL
1387434,NC-E/I,thursday,x_1387434_NC-E/I_thursday,0,OPTIMAL
1387434,NC-E/I,tuesday,x_1387434_NC-E/I_tuesday,0,OPTIMAL
1387434,NC-E/I,wednesday,x_1387434_NC-E/I_wednesday,0,OPTIMAL
1387468,NC-E/I,friday,x_1387468_NC-E/I_friday,0,OPTIMAL
1387468,NC-E/I,monday,x_1387468_NC-E/I_monday,0,OPTIMAL
1387468,NC-E/I,saturday,x_1387468_NC-E/I_saturday,0,OPTIMAL
1387468,NC-E/I,sunday,x_1387468_NC-E/I_sunday,1,OPTIMAL
1387468,NC-E/I,thursday,x_1387468_NC-E/I_thursday,0,OPTIMAL
1387468,NC-E/I,tuesday,x_1387468_NC-E/I_tuesday,0,OPTIMAL
1387468,NC-E/I,wednesday,x_1387468_NC-E/I_wednesday,0,OPTIMAL
1388696,NC-E/I,friday,x_1388696_NC-E/I_friday,1,OPTIMAL
1388696,NC-E/I,monday,x_1388696_NC-E/I_monday,0,OPTIMAL
1388696,NC-E/I,saturday,x_1388696_NC-E/I_saturday,0,OPTIMAL
1388696,NC-E/I,sunday,x_1388696_NC-E/I_sunday,0,OPTIMAL
1388696,NC-E/I,thursday,x_1388696_NC-E/I_thursday,0,OPTIMAL
1388696,NC-E/I,tuesday,x_1388696_NC-E/I_tuesday,0,OPTIMAL
1388696,NC-E/I,wednesday,x_1388696_NC-E/I_wednesday,0,OPTIMAL
1418424,NC-LUBRICATOR,friday,x_1418424_NC-LUBRICATOR_friday,1,OPTIMAL
1418424,NC-LUBRICATOR,monday,x_1418424_NC-LUBRICATOR_monday,0,OPTIMAL
1418424,NC-LUBRICATOR,thursday,x_1418424_NC-LUBRICATOR_thursday,0,OPTIMAL
1418424,NC-LUBRICATOR,tuesday,x_1418424_NC-LUBRICATOR_tuesday,0,OPTIMAL
1418424,NC-LUBRICATOR,wednesday,x_1418424_NC-LUBRICATOR_wednesday,0,OPTIMAL
1418457,NC-MECHANIC EXE,friday,x_1418457_NC-MECHANIC EXE_friday,0,OPTIMAL
1418457,NC-MECHANIC EXE,monday,x_1418457_NC-MECHANIC EXE_monday,0,OPTIMAL
1418457,NC-MECHANIC EXE,thursday,x_1418457_NC-MECHANIC EXE_thursday,1,OPTIMAL
1418457,NC-MECHANIC EXE,tuesday,x_1418457_NC-MECHANIC EXE_tuesday,0,OPTIMAL
1418457,NC-MECHANIC EXE,wednesday,x_1418457_NC-MECHANIC EXE_wednesday,0,OPTIMAL
1418463,NC-MECHANIC EXE,friday,x_1418463_NC-MECHANIC EXE_friday,0,OPTIMAL
1418463,NC-MECHANIC EXE,monday,x_1418463_NC-MECHANIC EXE_monday,1,OPTIMAL
1418463,NC-MECHANIC EXE,thursday,x_1418463_NC-MECHANIC EXE_thursday,0,OPTIMAL
1418463,NC-MECHANIC EXE,tuesday,x_1418463_NC-MECHANIC EXE_tuesday,0,OPTIMAL
1418463,NC-MECHANIC EXE,wednesday,x_1418463_NC-MECHANIC EXE_wednesday,0,OPTIMAL
1420764,NC-E/I,friday,x_1420764_NC-E/I_friday,0,OPTIMAL
1420764,NC-E/I,monday,x_1420764_NC-E/I_monday,0,OPTIMAL
1420764,NC-E/I,saturday,x_1420764_NC-E/I_saturday,1,OPTIMAL
1420764,NC-E/I,sunday,x_1420764_NC-E/I_sunday,0,OPTIMAL
1420764,NC-E/I,thursday,x_1420764_NC-E/I_thursday,0,OPTIMAL
1420764,NC-E/I,tuesday,x_1420764_NC-E/I_tuesday,0,OPTIMAL
1420764,NC-E/I,wednesday,x_1420764_NC-E/I_wednesday,0,OPTIMAL
1425287,NC-MECHANIC EXE,friday,x_1425287_NC-MECHANIC EXE_friday,0,OPTIMAL
1425287,NC-MECHANIC EXE,monday,x_1425287_NC-MECHANIC EXE_monday,0,OPTIMAL
1425287,NC-MECHANIC EXE,thursday,x_1425287_NC-MECHANIC EXE_thursday,0,OPTIMAL
1425287,NC-MECHANIC EXE,tuesday,x_1425287_NC-MECHANIC EXE_tuesday,1,OPTIMAL
1425287,NC-MECHANIC EXE,wednesday,x_1425287_NC-MECHANIC EXE_wednesday,0,OPTIMAL
1426292,NC-E/I,friday,x_1426292_NC-E/I_friday,0,OPTIMAL
1426292,NC-E/I,monday,x_1426292_NC-E/I_monday,0,OPTIMAL
1426292,NC-E/I,saturday,x_1426292_NC-E/I_saturday,1,OPTIMAL
1426292,NC-E/I,sunday,x_1426292_NC-E/I_sunday,0,OPTIMAL
1426292,NC-E/I,thursday,x_1426292_NC-E/I_thursday,0,OPTIMAL
1426292,NC-E/I,tuesday,x_1426292_NC-E/I_tuesday,0,OPTIMAL
1426292,NC-E/I,wednesday,x_1426292_NC-E/I_wednesday,0,OPTIMAL
1429139,NC-E/I,friday,x_1429139_NC-E/I_friday,1,OPTIMAL
1429139,NC-E/I,monday,x_1429139_NC-E/I_monday,0,OPTIMAL
1429139,NC-E/I,saturday,x_1429139_NC-E/I_saturday,0,OPTIMAL
1429139,NC-E/I,sunday,x_1429139_NC-E/I_sunday,0,OPTIMAL
1429139,NC-E/I,thursday,x_1429139_NC-E/I_thursday,0,OPTIMAL
1429139,NC-E/I,tuesday,x_1429139_NC-E/I_tuesday,0,OPTIMAL
1429139,NC-E/I,wednesday,x_1429139_NC-E/I_wednesday,0,OPTIMAL
1430677,NC-E/I,friday,x_1430677_NC-E/I_friday,0,OPTIMAL
1430677,NC-E/I,monday,x_1430677_NC-E/I_monday,0,OPTIMAL
1430677,NC-E/I,saturday,x_1430677_NC-E/I_saturday,0,OPTIMAL
1430677,NC-E/I,sunday,x_1430677_NC-E/I_sunday,1,OPTIMAL
1430677,NC-E/I,thursday,x_1430677_NC-E/I_thursday,0,OPTIMAL
1430677,NC-E/I,tuesday,x_1430677_NC-E/I_tuesday,0,OPTIMAL
1430677,NC-E/I,wednesday,x_1430677_NC-E/I_wednesday,0,OPTIMAL
1431833,NC-LUBRICATOR,friday,x_1431833_NC-LUBRICATOR_friday,0,OPTIMAL
1431833,NC-LUBRICATOR,monday,x_1431833_NC-LUBRICATOR_monday,0,OPTIMAL
1431833,NC-LUBRICATOR,thursday,x_1431833_NC-LUBRICATOR_thursday,0,OPTIMAL
