wo_id,trade,num_vars,boolvars
1453629,NC-LUBRICATOR,5,"[x_1453629_NC-LUBRICATOR_monday(0..1), x_1453629_NC-LUBRICATOR_tuesday(0..1), x_1453629_NC-LUBRICATOR_wednesday(0..1), x_1453629_NC-LUBRICATOR_thursday(0..1), x_1453629_NC-LUBRICATOR_friday(0..1)]"
1453482,NC-PM DAY,7,"[x_1453482_NC-PM DAY_monday(0..1), x_1453482_NC-PM DAY_tuesday(0..1), x_1453482_NC-PM DAY_wednesday(0..1), x_1453482_NC-PM DAY_thursday(0..1), x_1453482_NC-PM DAY_friday(0..1), x_1453482_NC-PM DAY_saturday(0..1), x_1453482_NC-PM DAY_sunday(0..1)]"
1453481,NC-PM DAY,7,"[x_1453481_NC-PM DAY_monday(0..1), x_1453481_NC-PM DAY_tuesday(0..1), x_1453481_NC-PM DAY_wednesday(0..1), x_1453481_NC-PM DAY_thursday(0..1), x_1453481_NC-PM DAY_friday(0..1), x_1453481_NC-PM DAY_saturday(0..1), x_1453481_NC-PM DAY_sunday(0..1)]"
1453428,NC-REBUILD,5,"[x_1453428_NC-REBUILD_monday(0..1), x_1453428_NC-REBUILD_tuesday(0..1), x_1453428_NC-REBUILD_wednesday(0..1), x_1453428_NC-REBUILD_thursday(0..1), x_1453428_NC-REBUILD_friday(0..1)]"
1453421,NC-MECHANIC EXE,5,"[x_1453421_NC-MECHANIC EXE_monday(0..1), x_1453421_NC-MECHANIC EXE_tuesday(0..1), x_1453421_NC-MECHANIC EXE_wednesday(0..1), x_1453421_NC-MECHANIC EXE_thursday(0..1), x_1453421_NC-MECHANIC EXE_friday(0..1)]"
1453071,NC-REBUILD,5,"[x_1453071_NC-REBUILD_monday(0..1), x_1453071_NC-REBUILD_tuesday(0..1), x_1453071_NC-REBUILD_wednesday(0..1), x_1453071_NC-REBUILD_thursday(0..1), x_1453071_NC-REBUILD_friday(0..1)]"
1453069,NC-REBUILD,5,"[x_1453069_NC-REBUILD_monday(0..1), x_1453069_NC-REBUILD_tuesday(0..1), x_1453069_NC-REBUILD_wednesday(0..1), x_1453069_NC-REBUILD_thursday(0..1), x_1453069_NC-REBUILD_friday(0..1)]"
1452557,NC-REBUILD,5,"[x_1452557_NC-REBUILD_monday(0..1), x_1452557_NC-REBUILD_tuesday(0..1), x_1452557_NC-REBUILD_wednesday(0..1), x_1452557_NC-REBUILD_thursday(0..1), x_1452557_NC-REBUILD_friday(0..1)]"
1452505,NC-PM NIGHT,7,"[x_1452505_NC-PM NIGHT_monday(0..1), x_1452505_NC-PM NIGHT_tuesday(0..1), x_1452505_NC-PM NIGHT_wednesday(0..1), x_1452505_NC-PM NIGHT_thursday(0..1), x_1452505_NC-PM NIGHT_friday(0..1), x_1452505_NC-PM NIGHT_saturday(0..1), x_1452505_NC-PM NIGHT_sunday(0..1)]"
1452462,NC-REBUILD,5,"[x_1452462_NC-REBUILD_monday(0..1), x_1452462_NC-REBUILD_tuesday(0..1), x_1452462_NC-REBUILD_wednesday(0..1), x_1452462_NC-REBUILD_thursday(0..1), x_1452462_NC-REBUILD_friday(0..1)]"
