0,1
1,"['0200-LT-2053', '0200', 'Corrective', '', 'SCOP', 'Scoping Required', '1-Emergency/Break-in', '04/03/2026', 'AZP MOORESBORO', '1452420', '', 'NC-E/I', '1', '1', 'AZP MOORESBORO', 'BR', 'LT-2053 keeps spiking to 100% kicking SX out now its in alarm and at 42%', '0', '', '', '', '', '', '', '', '', '2', 'A', '04/03/2026', '', 'FE-203 SETTLER CONTAINMENT LEVEL', '', '']"
2,"['0100-DC-152-D', '0100', 'Corrective', '', 'SCOP', 'Scoping Required', '', '04/03/2026', 'AZP MOORESBORO', '1452415', 'MECH EXE CREW', 'NC-MECHANIC EXE', '1', '1', 'AZP MOORESBORO', 'BR', 'Install DC-152 D manway', '0', '', '', '', '', '', '', '', '', '2', 'A', '04/03/2026', '', 'DC-152-D ACID LEACHING TANK #4', '', '']"
3,"['0200-FE-203-0-SETTLER', '0200', 'Corrective', '', 'SCOP', 'Scoping Required', '', '04/03/2026', 'AZP MOORESBORO', '1452414', 'TMILLS2', 'NC-MECHANIC EXE', '1', '1', 'AZP MOORESBORO', 'BR', 'FE-203 spool swap (Cosermo)', '0', '', '', '', '', '', '', '', '', '2', 'A', '04/03/2026', '', 'FE-203 3RD EXTRACTION SETTLER', '', '']"
4,"['1000-RAILYD', '700', 'Corrective', '', 'SCOP', 'Scoping Required', '', '04/03/2026', 'AZP MOORESBORO', '1452407', '', 'NC-MECHANIC EXE', '1', '1', 'AZP MOORESBORO', 'BR', 'MULX 200827 needs weld', '0', '', '', '', '', '', '', '', '', '2', 'S', '04/03/2026', '', 'MOORESBORO RAIL YARD', '', '']"
5,"['0400-CA-401-CATHBRUSH', '0400', 'Corrective', '', 'SCOP', 'Scoping Required', '', '04/03/2026', 'AZP MOORESBORO', '1452404', '', 'NC-MECHANIC EXE', '1', '1', 'AZP MOORESBORO', 'BR', 'rebuild header bar', '0', '', '', '', '', '', '', '', '', '2', 'A', '04/03/2026', '', 'CA-401 Stripping machine Cathode Brush System', '', '']"
6,"['1500', '1500', 'Corrective', '', 'SCOP', 'Scoping Required', '3-First Opportunity', '04/02/2026', 'AZP MOORESBORO', '1452354', 'AALEXEYEV', 'NC-E/I', '1', '1', 'AZP MOORESBORO', 'BR', ""Several overhead lights need to be replaced in the Men's locker rooms"", '0', '', '', '', '', '', '', '', '', '3', 'S', '04/02/2026', '', '1500-BUILDING AND GROUNDS', '', '']"
7,"['0400-GA-406-A-PUMP', '0400', 'Planned Work', '', 'R', 'Open - Ready to Schedule', '2-Urgent/Scheduled', '04/08/2026', 'AZP MOORESBORO', '1452346', 'MECH EXE CREW', 'NC-MECHANIC EXE', '2', '2', 'AZP MOORESBORO', 'BR', 'GA-406A Suction Pipe Inspection', '0', '', '', '', '', '', '', '', '', '8', 'A', '04/02/2026', '', ""GA-406A PUMP (1375 GPM @ 66' TDH)"", '', '']"
8,"['0400-PA-403-CRANE', '0400', 'Follow-up', '', 'SCOP', 'Scoping Required', '3-First Opportunity', '04/02/2026', 'AZP MOORESBORO', '1452318', 'MECH EXE CREW', 'NC-CONT-MECH', '1', '1', 'AZP MOORESBORO', 'BR', '1000kg Aux. Hoist on PA-403 Failed Load Test due to not picking up Test Weight', '0', '', '', '', '', '', '', '', '', '6', 'A', '04/02/2026', '', 'PA-403 -AUXILIARY CRANE #1', '', '']"
9,"['0400-PA-408-HOIST', '0400', 'Follow-up', '', 'SCOP', 'Scoping Required', '2-Urgent/Scheduled', '04/02/2026', 'AZP MOORESBORO', '1452317', '', 'NC-CONT-MECH', '1', '1', 'AZP MOORESBORO', 'BR', 'PA-408 Travel Function Broken', '0', '', '', '', '', '', '', '', '', '4', 'A', '04/02/2026', '', 'PA-408 -MANGANESE SUPERSACK HOIST', '', '']"
10,"['0500', '0500', 'Corrective', '', 'SCOP', 'Scoping Required', '', '04/02/2026', 'AZP MOORESBORO', '1452306', '', 'NC-MECHANIC EXE', '1', '1', 'AZP MOORESBORO', 'BR', 'SET UP AND WIRE THE NEW  HPU FOR TESTING.', '0', '', '', '', '', '', '', '', '', '2', 'S', '04/02/2026', '', 'MELTING / CASTING, AREA 500', '', '']"
11,"['0200', '0200', 'Corrective', '', 'SCOP', 'Scoping Required', '2-Urgent/Scheduled', '04/02/2026', 'AZP MOORESBORO', '1452302', '', 'NC-MECHANIC EXE', '1', '1', 'AZP MOORESBORO', 'BR', 'Water coming up from the floor in the SX cleaning closet - alot of water', '0', '', '', '', '', '', '', '', '', '2', 'S', '04/02/2026', '', 'SOLVENT EXTRACTION, AREA 200', '', '']"
12,"['0500-FC-501-A-MODULE', '0500', 'Corrective', '', 'SCOP', 'Scoping Required', '1-Emergency/Break-in', '04/02/2026', 'AZP MOORESBORO', '1452293', '', 'NC-MECHANIC EXE', '1', '1', 'AZP MOORESBORO', 'BR', 'Module 1 on the 500 bag house is tripped.', '0', '', '', '', '', '', '', '', '', '2', 'A', '04/02/2026', '', 'MELTING FURNACE BAGHOUSE DUST COLLECTOR, MODULE #1', '', '']"
13,"['0100-PX-101-B', '0100', 'Corrective', '', 'R', 'Open - Ready to Schedule', '', '04/01/2026', 'AZP MOORESBORO', '1452288', 'TMILLS2', 'NC-E/I', '12', '1', 'AZP MOORESBORO', 'BR', 'Re-route conduit on PX-101B (D12E)', '0', '', '', '', '', '', '', '', '', '5', 'A', '04/01/2026', '', '0100-PX-101-B FILTER PRESS', '', '']"
