work_order_id,resource_id,scheduled_date,duration,description,priority
1444880,NC-E/I,2026-04-08,1.0,Replace lens on Duke Substation (Harmonic filter) camera with replacement lens,5
1446253,NC-E/I,2026-04-11,1.0,Upside existing E3 in GX-302 from a 2A max to a 5A max (FLA on motor is 2.6A),5
1442061,NC-E/I,2026-04-07,1.0,Rail Yard electrical conduit AC-AUD-20260206-005,4
1441973,NC-E/I,2026-04-12,1.0,Change GA-323 over to AOD,5
1451326,NC-MECHANIC EXE,2026-04-09,1.0,charging lane 2 hoist has a hydraulic leak,3
1447453,NC-E/I,2026-04-07,1.0,Kunz 1&2 prevent from traveling over CSM while CSM is locked (Terry/A&W),5
1450892,NC-E/I,2026-04-07,1.0,Clean junction box for track 11 north door,5
1450894,NC-E/I,2026-04-09,1.0,Clean junction box for track 10 south door,5
1450895,NC-E/I,2026-04-07,1.0,Clean junction box for track 10 north door,5
1450893,NC-E/I,2026-04-08,1.0,Clean junction box for track 11 south door,5
1442969,NC-E/I,2026-04-11,1.0,Attach UPS outlet panel to wall,5
1451286,NC-E/I,2026-04-12,1.0,A&W Commissioning Assistance for BH-730,4
1388696,NC-E/I,2026-04-11,3.0,Add Limits Switches to Jumbo's (D3E),4
1387434,NC-E/I,2026-04-06,1.0,(HOLD) Install WH PN 700-26440 on WOX silo D,5
1426292,NC-E/I,2026-04-10,2.0,Use standard sump level transmitter mount to remount LT on GA-795,4
1430677,NC-E/I,2026-04-10,2.0,Herzog machine power supply is burnt up ,4
1437521,NC-E/I,2026-04-09,2.0,Install jbox and conduit for CSM 2 laser test project ,4
1444984,NC-E/I,2026-04-07,2.0,address quick connect conduit issues both GA-136 pumps,5
1437615,NC-E/I,2026-04-09,4.0,ribs missing on cable tray causing cables to dangle (Night)s,4
1445092,NC-MECHANIC EXE,2026-04-08,1.0,(Outage) Install safety gate on both transformers,4
1441822,NC-REBUILD,2026-04-07,3.0,GA-810C Seal replacement in the field (D4M),4
1442950,NC-E/I,2026-04-07,1.0,Outside Lights on Metals & Reagent Warehouse are staying on all the time,4
1429139,NC-E/I,2026-04-08,3.0,PA-401 Travel position prox flickering (Nights),4
1442948,NC-EQUIPMENT,2026-04-09,1.0,Rotary Dumper leaking hydraulic oil (Hicham),3
1444954,NC-EQUIPMENT,2026-04-07,3.0,Kunz 1 south cathode hooks are losing hydraulic pressure when not active (Hicham,5
1448643,NC-REBUILD,2026-04-10,2.0,dissmantale roller for marcus 400-34620 and assemble after complete,5
1442901,NC-E/I,2026-04-09,2.0,(Outage) Conduit needs repaired on east side of R2D2 in front of line 2 ,4
1442882,NC-REBUILD,2026-04-06,8.0,Seal leak on GA-404 (D8M),4
1442883,NC-REBUILD,2026-04-09,8.0,(HOLD) Seal leak on GA-401 (D8M),4
1435859,NC-E/I,2026-04-08,3.0,Install stainless steel tags on DC-201B using GA drawing for nozzle locations.,4
1418457,NC-MECHANIC EXE,2026-04-10,4.0,GD-340 Install blades (D4M),5
1442842,NC-MECHANIC EXE,2026-04-09,3.0,Convert GA-126 to AOD,4
1442846,NC-MECHANIC EXE,2026-04-08,3.0,Convert GA-396 to AOD,4
1442847,NC-MECHANIC EXE,2026-04-08,3.0,Convert GA-226 to AOD,4
1450304,NC-E/I,2026-04-10,2.0,Inspect PX-808 C motor,4
1448470,NC-E/I,2026-04-08,1.0,PLS road lights do not work or are strobing. (AC-INC-20260317-005),4
1442871,NC-E/I,2026-04-06,2.0,(Outage) switch keeps going active causing pump to kick off ,4
1450324,NC-E/I,2026-04-07,2.0,Wire new UV-6201 A,4
1450159,NC-REBUILD,2026-04-07,3.0,GA-443 C Water Leak,4
1446276,NC-E/I,2026-04-12,1.0,Drill holes for voltage wire in spare EQ bars (Terry/ A&W),4
1446295,NC-REBUILD,2026-04-10,8.0,Rebuild GA-140 that is in shed,4
1446322,NC-E/I,2026-04-07,1.0,Jet Air booth at SX building runs constantly,4
1446273,NC-E/I,2026-04-12,3.0,Move Thermocouple from west side of furnace to east side ,4
1446203,NC-E/I,2026-04-12,4.0,Remove unused limit switches (see comments),4
1446090,NC-EQUIPMENT,2026-04-07,2.0,HPU ON CLARIFIER-HYDRAULIC LINE NEED REPLACED(SEE COMMENT),4
1448081,NC-EQUIPMENT,2026-04-08,8.0,SX sampler golf cart wheel bearing and control arm,3
1449857,NC-E/I,2026-04-08,2.0,PIT-6263-B recalibration/ possible cleanout (D2E),4
1448054,NC-REBUILD,2026-04-07,4.0,(outage) GA-204A - Realign and mechanical inspection,4
1420764,NC-E/I,2026-04-06,6.0,Install welding receptacle near DC-305 (TERRY/A&W),4
1433738,NC-E/I,2026-04-10,2.0,Add time out alarm for PT-1947 during discharge (see comments for scheduling),4
1444006,NC-EQUIPMENT,2026-04-06,2.0,cap leaking (Hicham),4
1444005,NC-E/I,2026-04-08,4.0,Install solenoid for new AOD to replace GA-323 (completed except for automation),4
1434969,NC-E/I,2026-04-11,6.0,CA-401-402 Need to relocate junction boxes at stackers,4
1447544,NC-REBUILD,2026-04-08,8.0,(HOLD) GA-154B1 internal seal leak,4
1447506,NC-E/I,2026-04-11,4.0,Move camera in lower parts cage,4
1436320,NC-E/I,2026-04-10,3.0,Run wiring for solenoid at GA-391 ,4
1443872,NC-EQUIPMENT,2026-04-06,6.0,Red buggy wont drive past 3 mph and sounds terrible. (Hicham),3
1447542,NC-MECHANIC EXE,2026-04-09,1.0,Reinstall piping and top 90 on FD-202 B after coating repair,4
1447469,NC-EQUIPMENT,2026-04-09,4.0,Golf cart won't move (Hicham),4
1447258,NC-MECHANIC EXE,2026-04-10,2.0,UV-0302 valve stem is broken from knife gate (D2M),4
1447336,NC-REBUILD,2026-04-09,2.0,Seal water line going to the seal pot on GA-319 B is leaking. ,4
1376960,NC-LUBRICATOR,2026-04-08,2.0,ANNUAL SEWER SYSTEM MANHOLE COVER PAINT INSPECTION,1
1387468,NC-E/I,2026-04-07,2.0,TEST TEMPERATURES AND LEVELS SIS SYSTEM DC-201,1
1448781,NC-LUBRICATOR,2026-04-06,1.0,Precoat System Lubrication [D],1
1448804,NC-LUBRICATOR,2026-04-06,1.0,Monthly CL-301 Clarifier Lubrication,1
1448807,NC-LUBRICATOR,2026-04-06,1.0,CL-303 Monthly Clarifier Lubrication ,1
